_background	Graphs	xdot	<none>		Строка в xdotформате, задающая произвольный фон.	A string in the xdot format specifying an arbitrary background.		_background	Графы	xdot	<none>	
stylesheet	Graphs	string	""""""		URL-адрес или путь, указывающий таблицу стилей XML, используемую в выходных данных SVG. Только svg .	A URL or pathname specifying an XML style sheet, used in SVG output. svg only.		stylesheet	Графы	нить	""""""	
tail_lp	Edges	point			Положение метки хвоста ребра, в пунктах .. только запись.	Position of an edge's tail label, in points.. write only.		tail_lp	Края	точка		
tailclip	Edges	bool	true		Если true, хвост ребра обрезается по границе хвостового узла.	If true, the tail of an edge is clipped to the boundary of the tail node.		tailclip	Края	бул	true	
tailhref	Edges	escString	""""""		Синоним для tailURL.. map, только svg .	Synonym for tailURL.. map, svg only.		tailhref	Края	escСтрока	""""""	
taillabel	Edges	lblString	""""""		Текстовая метка должна быть размещена у края.	Text label to be placed near tail of edge.		taillabel	Края	lblСтрока	""""""	
tailport	Edges	portPos	center		Указывает, где на хвостовом узле прикрепить хвостовую часть ребра.	Indicates where on the tail node to attach the tail of the edge.		tailport	Края	портPos	center	
tailtarget	Edges	escString	<none>		Окно браузера, используемое для tailURLссылки. Карта, только svg .	Browser window to use for the tailURL link. map, svg only.		tailtarget	Края	escСтрока	<none>	
tailtooltip	Edges	escString	""""""		Подсказка-аннотация, прикрепленная к хвосту ребра. cmap , только svg .	Tooltip annotation attached to the tail of an edge. cmap, svg only.		tailtooltip	Края	escСтрока	""""""	
tailURL	Edges	escString	""""""		Если определено, tailURLвыводится как часть метки хвоста ребра. Карта, только svg .	If defined, tailURL is output as part of the tail label of the edge. map, svg only.		tailURL	Края	escСтрока	""""""	
target	Edges, Nodes, Graphs, Clusters	escString, string	<none>		Если объект имеет URL, этот атрибут определяет, какое окно браузера используется для URL.. карта, только svg .	If the object has a URL, this attribute determines which window of the browser is used for the URL.. map, svg only.		target	Ребра, узлы, графы, кластеры	escString , строка	<none>	
TBbalance	Graphs	string	''		На какой ранг переместить плавающие (свободные) узлы. только точка .	Which rank to move floating (loose) nodes to. dot only.		TBbalance	Графы	нить	''	
tooltip	Nodes, Edges, Clusters, Graphs	escString	""""""		Подсказка (текст при наведении мыши), прикрепленная к узлу, ребру, кластеру или графику. cmap , только svg .	Tooltip (mouse hover text) attached to the node, edge, cluster, or graph. cmap, svg only.		tooltip	Узлы, ребра, кластеры, графы	escСтрока	""""""	
truecolor	Graphs	bool			Используется ли внутренняя растровая визуализация на основе цветовой модели TrueColor или используется только растровый вывод.	Whether internal bitmap rendering relies on a truecolor color model or uses. bitmap output only.		truecolor	Графы	бул		
URL	Edges, Nodes, Graphs, Clusters	escString	<none>		Гиперссылки, включенные в вывод, зависящий от устройства. Только map, postscript , svg .	Hyperlinks incorporated into device-dependent output. map, postscript, svg only.		URL	Ребра, узлы, графы, кластеры	escСтрока	<none>	
vertices	Nodes	pointList			Задает координаты вершин многоугольника узла в дюймах. только запись.	Sets the coordinates of the vertices of the node's polygon, in inches. write only.		vertices	Узлы	pointList		
viewport	Graphs	viewPort	""""""		Окно обрезки на окончательном чертеже.	Clipping window on final drawing.		viewport	Графы	viewPort	""""""	
voro_margin	Graphs	double	0.05	0.0	Диапазон настройки техники Вороного. Только neato , fdp , sfdp , twopi , circo .	Tuning margin of Voronoi technique. neato, fdp, sfdp, twopi, circo only.		voro_margin	Графы	двойной	0.05	0.0
weight	Edges	int, double	1	"0(dot,twopi)
1(neato,fdp)"	Вес лезвия.	Weight of edge.		weight	Края	целое число , двойное	1	"0(dot,twopi)
1(neato,fdp)"
width	Nodes	double	0.75	0.01	Ширина узла в дюймах.	Width of node, in inches.		width	Узлы	двойной	0.75	0.01
xdotversion	Graphs	string			Определяет версию, xdotиспользуемую в выходных данных. Только xdot .	Determines the version of xdot used in output. xdot only.		xdotversion	Графы	нить		
xlabel	Edges, Nodes	lblString	""""""		Внешняя метка для узла или ребра.	External label for a node or edge.		xlabel	Края, Узлы	lblСтрока	""""""	
xlp	Nodes, Edges	point			Расположение внешней этикетки, в точках . Только запись.	Position of an exterior label, in points. write only.		xlp	Узлы, Края	точка		
z	Nodes	double	0.0	"-MAXFLOAT
-1000"	Значение координаты Z для 3D-макетов и дисплеев.	Z-coordinate value for 3D layouts and displays.		z	Узлы	двойной	0.0	"-MAXFLOAT
-1000"
